Groups, Dataset Name, Size,Shape,Type
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435/MEAS.I,MEAS.I,1,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435/REF.I,REF.I,1,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition/currentAverage,currentAverage,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,acqDesc,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqMsg,acqMsg,1,"(1,)",|S32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqState,acqState,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqTime,acqTime,1,"(1,)",|S25
AwakeEventData/SPS.BCTDC.41435/Acquisition/calMarkerData,calMarkerData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/cycleTime,cycleTime,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpCycleTime,dumpCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpInt,dumpInt,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,inCheckStatusData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,lowIbStatusData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp,measStamp,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unit,measStamp_unit,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unitExponent,measStamp_unitExponent,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfAdcData,nbOfAdcData,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfMeas,nbOfMeas,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/range1Data,range1Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range2Data,range2Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range3Data,range3Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range4Data,range4Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/samplingTime,samplingTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfCycleTime,sbfCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfIntensity,sbfIntensity,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/selectedRange,selectedRange,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowCycleTime,slowCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowExtInt,slowExtInt,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/superCycleNb,superCycleNb,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity,totalIntensity,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity4Ranges,totalIntensity4Ranges,4480,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unit,totalIntensity_unit,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unitExponent,totalIntensity_unitExponent,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/vmodStatus,vmodStatus,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqDesc,acqDesc,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqMsg,acqMsg,1,"(1,)",|S32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqState,acqState,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqTime,acqTime,1,"(1,)",|S25
AwakeEventData/SPS.BCTDC.51895/Acquisition/calMarkerData,calMarkerData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/cycleTime,cycleTime,1,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpCycleTime,dumpCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpInt,dumpInt,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/inCheckStatusData,inCheckStatusData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/lowIbStatusData,lowIbStatusData,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp,measStamp,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unit,measStamp_unit,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unitExponent,measStamp_unitExponent,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray1,monitorArray1,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray2,monitorArray2,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfAdcData,nbOfAdcData,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfMeas,nbOfMeas,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/range1Data,range1Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range2Data,range2Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range3Data,range3Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range4Data,range4Data,1120,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/samplingTime,samplingTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfCycleTime,sbfCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfIntensity,sbfIntensity,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/selectedRange,selectedRange,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowCycleTime,slowCycleTime,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowExtInt,slowExtInt,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/superCycleNb,superCycleNb,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity,totalIntensity,940,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity4Ranges,totalIntensity4Ranges,4480,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unit,totalIntensity_unit,1,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unitExponent,totalIntensity_unitExponent,1,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/vmodStatus,vmodStatus,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/beamOk,beamOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bqmOutputEnable,bqmOutputEnable,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensities,bunchIntensities,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMax,bunchIntensityMax,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMaxThr,bunchIntensityMaxThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMean,bunchIntensityMean,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMin,bunchIntensityMin,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMinThr,bunchIntensityMinThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndex,bunchIntensityModIndex,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexOk,bunchIntensityModIndexOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexThr,bunchIntensityModIndexThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityOk,bunchIntensityOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityStd,bunchIntensityStd,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMax,bunchLengthMax,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMaxThr,bunchLengthMaxThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMean,bunchLengthMean,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMin,bunchLengthMin,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMinThr,bunchLengthMinThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthOk,bunchLengthOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStd,bunchLengthStd,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdOk,bunchLengthStdOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdThr,bunchLengthStdThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengths,bunchLengths,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMax,bunchPeakMax,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMaxThr,bunchPeakMaxThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMean,bunchPeakMean,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMin,bunchPeakMin,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMinThr,bunchPeakMinThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakOk,bunchPeakOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStd,bunchPeakStd,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStdOk,bunchPeakStdOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStdThr,bunchPeakStdThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeaks,bunchPeaks,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPositions,bunchPositions,288,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/diagnostic,diagnostic,1,"(1,)",int16
AwakeEventData/SPSBQMSPSv1/Acquisition/doubletIntensitySplitOk,doubletIntensitySplitOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/doublets,doublets,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/filledBuckets,filledBuckets,288,"(288,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/firstBunchPositionOk,firstBunchPositionOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/isTrailingDoublet,isTrailingDoublet,0,"(0,)"
AwakeEventData/SPSBQMSPSv1/Acquisition/nAllowedLongBunches,nAllowedLongBunches,1,"(1,)",int16
AwakeEventData/SPSBQMSPSv1/Acquisition/nBunches,nBunches,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/nBunchesMax,nBunchesMax,1,"(1,)",int16
AwakeEventData/SPSBQMSPSv1/Acquisition/nBunchesMaxOk,nBunchesMaxOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/nBunchesRamp,nBunchesRamp,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/nSatellitesIntensity,nSatellitesIntensity,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/nSatellitesMidBucket,nSatellitesMidBucket,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/nTooLongBunches,nTooLongBunches,1,"(1,)",int16
AwakeEventData/SPSBQMSPSv1/Acquisition/nWarningMessages,nWarningMessages,1,"(1,)",int16
AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentDeltaMax,oscillationPercentDeltaMax,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentDeltaMaxThr,oscillationPercentDeltaMaxThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentDeltas,oscillationPercentDeltas,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentPeakMax,oscillationPercentPeakMax,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentPeakMaxThr,oscillationPercentPeakMaxThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/patternOk,patternOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/satelliteBucketsIntensity,satelliteBucketsIntensity,4620,"(4620,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/satelliteBucketsMid,satelliteBucketsMid,4620,"(4620,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/satellitesIntensityThr,satellitesIntensityThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/satellitesMidBucketThr,satellitesMidBucketThr,1,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/satellitesOk,satellitesOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/stabilityOk,stabilityOk,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/tgmNLSQCTL,tgmNLSQCTL,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/tgmSCNUM,tgmSCNUM,1,"(1,)",int32
AwakeEventData/SPSBQMSPSv1/Acquisition/verifyPattern,verifyPattern,1,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/warningMessages,warningMessages,50,"(50,)",|S48
AwakeEventData/SPSBQMSPSv1/Acquisition/wrongBuckets,wrongBuckets,288,"(288,)",int32
AwakeEventData/SPSBQMSPSv1/RawWavesFTAcquisition/rawWaveFT,rawWaveFT,80000,"(80000,)",int16
AwakeEventData/SR.AWGAMP/Status/position,position,1,"(1,)",int64
AwakeEventData/SR.AWGPH/Status/position,position,1,"(1,)",int64
AwakeEventData/SR.AWINTLK/PhaseAcq/phaseShifter,phaseShifter,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE27.CH01/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE27.CH01/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE27.CH01/Acquisition/value,value,320,"(1, 320)",int16
AwakeEventData/SR.SCOPE27.CH01/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE28.CH01/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE28.CH01/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE28.CH01/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE28.CH01/Acquisition/value,value,320,"(1, 320)",int16
AwakeEventData/SR.SCOPE28.CH01/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE29.CH01/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE29.CH01/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE29.CH01/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE29.CH01/Acquisition/value,value,320,"(1, 320)",int16
AwakeEventData/SR.SCOPE29.CH01/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE30.CH01/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE30.CH01/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH01/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE30.CH01/Acquisition/value,value,4000,"(1, 4000)",int16
AwakeEventData/SR.SCOPE30.CH01/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE30.CH02/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE30.CH02/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE30.CH02/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE30.CH02/Acquisition/value,value,4000,"(1, 4000)",int16
AwakeEventData/SR.SCOPE30.CH02/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE43.CH01/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH01/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH01/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH01/Acquisition/value,value,352,"(1, 352)",int16
AwakeEventData/SR.SCOPE43.CH01/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE43.CH02/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH02/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH02/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH02/Acquisition/value,value,352,"(1, 352)",int16
AwakeEventData/SR.SCOPE43.CH02/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE43.CH03/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH03/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH03/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH03/Acquisition/value,value,352,"(1, 352)",int16
AwakeEventData/SR.SCOPE43.CH03/Acquisition/value_units,value_units,1,"(1,)",|S1
AwakeEventData/SR.SCOPE43.CH04/Acquisition/CTime,CTime,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/cycleTag,cycleTag,1,"(1,)",int32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/diffStamps,diffStamps,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH04/Acquisition/firstSampleTime,firstSampleTime,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/offset,offset,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/sampleInterval,sampleInterval,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/sensitivity,sensitivity,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/triggerError,triggerError,1,"(1,)",float32
AwakeEventData/SR.SCOPE43.CH04/Acquisition/triggerStamp,triggerStamp,1,"(1,)",int64
AwakeEventData/SR.SCOPE43.CH04/Acquisition/value,value,352,"(1, 352)",int16
AwakeEventData/SR.SCOPE43.CH04/Acquisition/value_units,value_units,1,"(1,)",|S1
